threads,config,run,elapsed,grind,fom,trace_bytes,trace_human
32,PInsight_50_STANDBY_TBB,4,80.00,0.183470,5450.48,15913288,16M
32,PInsight_50_STANDBY_TBB,5,80.00,0.182079,5492.13,15962440,16M
48,PInsight_50_STANDBY_TBB,1,76.00,0.173133,5775.90,23585096,23M
48,PInsight_50_STANDBY_TBB,2,75.00,0.169889,5886.21,23577048,23M
48,PInsight_50_STANDBY_TBB,3,74.00,0.169303,5906.57,23576976,23M
48,PInsight_50_STANDBY_TBB,4,75.00,0.170924,5850.54,23843144,24M
48,PInsight_50_STANDBY_TBB,5,75.00,0.171306,5837.50,23585096,23M
8,HPCToolkit,1,75.00,0.171640,5826.15,8496607,8.2M
8,HPCToolkit,2,78.00,0.178719,5595.39,8797103,8.5M
8,HPCToolkit,3,74.00,0.168414,5937.74,8355436,8.1M
8,HPCToolkit,4,78.00,0.177230,5642.39,8717114,8.4M
8,HPCToolkit,5,81.00,0.183545,5448.26,8980260,8.7M
16,HPCToolkit,1,44.00,0.100551,9945.23,10639434,11M
16,HPCToolkit,2,44.00,0.099601,10040.06,10557416,11M
16,HPCToolkit,3,43.00,0.098698,10131.88,10468601,11M
16,HPCToolkit,4,44.00,0.099317,10068.72,10536958,11M
16,HPCToolkit,5,44.00,0.099696,10030.46,10571154,11M
24,HPCToolkit,1,40.00,0.090193,11087.35,14389143,14M
24,HPCToolkit,2,42.00,0.096217,10393.15,15142460,15M
24,HPCToolkit,3,40.00,0.091323,10950.13,14521760,14M
24,HPCToolkit,4,40.00,0.091362,10945.42,14522083,14M
24,HPCToolkit,5,42.00,0.095451,10476.61,15030034,15M
32,HPCToolkit,1,41.00,0.092360,10827.25,19332497,19M
32,HPCToolkit,2,38.00,0.087385,11443.65,18480253,18M
32,HPCToolkit,3,40.00,0.091300,10952.90,19121304,19M
32,HPCToolkit,4,37.00,0.085324,11720.07,18164179,18M
32,HPCToolkit,5,38.00,0.086625,11544.07,18293236,18M
48,HPCToolkit,1,39.00,0.089922,11120.70,27959186,27M
48,HPCToolkit,2,37.00,0.085414,11707.62,26762173,26M
48,HPCToolkit,3,37.00,0.083740,11941.74,26383608,26M
48,HPCToolkit,4,36.00,0.082771,12081.50,26125641,26M
48,HPCToolkit,5,36.00,0.081166,12320.36,25751873,25M
8,ScoreP,1,ERR,ERR,ERR,10478,16K
8,ScoreP,2,ERR,ERR,ERR,10478,16K
8,ScoreP,3,ERR,ERR,ERR,10478,16K
8,ScoreP,4,ERR,ERR,ERR,10478,16K
8,ScoreP,5,ERR,ERR,ERR,10478,16K
16,ScoreP,1,ERR,ERR,ERR,10479,16K
16,ScoreP,2,ERR,ERR,ERR,10479,16K
16,ScoreP,3,ERR,ERR,ERR,10479,16K
16,ScoreP,4,ERR,ERR,ERR,10479,16K
16,ScoreP,5,ERR,ERR,ERR,10479,16K
24,ScoreP,1,ERR,ERR,ERR,10479,16K
24,ScoreP,2,ERR,ERR,ERR,10479,16K
24,ScoreP,3,ERR,ERR,ERR,10479,16K
24,ScoreP,4,ERR,ERR,ERR,10479,16K
24,ScoreP,5,ERR,ERR,ERR,10479,16K
32,ScoreP,1,ERR,ERR,ERR,10479,16K
32,ScoreP,2,ERR,ERR,ERR,10479,16K
32,ScoreP,3,ERR,ERR,ERR,10479,16K
32,ScoreP,4,ERR,ERR,ERR,10479,16K
32,ScoreP,5,ERR,ERR,ERR,10479,16K
48,ScoreP,1,ERR,ERR,ERR,10479,16K
48,ScoreP,2,ERR,ERR,ERR,10479,16K
48,ScoreP,3,ERR,ERR,ERR,10479,16K
48,ScoreP,4,ERR,ERR,ERR,10479,16K
48,ScoreP,5,ERR,ERR,ERR,10479,16K
8,Nsight_Systems,1,180.00,0.414141,2414.64,0,N/A
8,Nsight_Systems,2,190.00,0.428112,2335.84,0,N/A
8,Nsight_Systems,3,180.00,0.413077,2420.86,0,N/A
8,Nsight_Systems,4,180.00,0.413240,2419.90,0,N/A
8,Nsight_Systems,5,180.00,0.407124,2456.26,0,N/A
16,Nsight_Systems,1,ERR,ERR,ERR,0,N/A
16,Nsight_Systems,2,ERR,ERR,ERR,0,N/A
