[17:05:11.545344709] (+?.?????????) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 2 }, { pid = 32016 }
[17:05:11.547272639] (+0.001927930) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 0 }, { pid = 32021 }
[17:05:11.549327091] (+0.002054452) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 2 }, { pid = 32020 }
[17:05:11.551174099] (+0.001847008) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 3 }, { pid = 32017 }
[17:05:11.571865078] (+0.000000153) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE700, count = 12, source = 3, tag = 1 }
[17:05:11.571865544] (+0.000000466) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 0 }, { mpirank = 3, sendbuf = 0xD99F12F0, recvbuf = 0xD99F12F8, count = 1, mpi_op = 0x6026A0 }
[17:05:11.571865745] (+0.000000201) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 3 }, { mpirank = 2, sendbuf = 0x689CE550, recvbuf = 0x689CE558, count = 1, mpi_op = 0x6026A0 }
[17:05:11.571871816] (+0.000006071) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 1 }, { mpirank = 0, buf = 0x1B050DC0, count = 12, dest = 1, tag = 0 }
[17:05:11.571872454] (+0.000000638) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 1 }, { mpirank = 0, buf = 0x1B050DC0, count = 12, dest = 1, tag = 0 }
[17:05:11.571872823] (+0.000000369) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 1 }, { mpirank = 0, buf = 0x1B050E20, count = 12, source = 1, tag = 1 }
[17:05:11.572067972] (+0.000195149) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F4470, count = 12, source = 0, tag = 0 }
[17:05:11.572068729] (+0.000000757) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F44D0, count = 12, dest = 0, tag = 1 }
[17:05:11.572069967] (+0.000001238) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F44D0, count = 12, dest = 0, tag = 1 }
[17:05:11.572070348] (+0.000000381) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F45F0, count = 12, source = 2, tag = 1 }
[17:05:11.572070624] (+0.000000276) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 1 }, { mpirank = 0, buf = 0x1B050E20, count = 12, source = 1, tag = 1 }
[17:05:11.572070988] (+0.000000364) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F45F0, count = 12, source = 2, tag = 1 }
[17:05:11.572071399] (+0.000000411) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 1 }, { mpirank = 0, sendbuf = 0x1B050C70, recvbuf = 0x1B050C78, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572071927] (+0.000000528) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 2 }, { mpirank = 1, sendbuf = 0x8D6F4440, recvbuf = 0x8D6F4448, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572074106] (+0.000002179) vm lttng_pinsight_mpi:MPI_Allreduce_end: { cpu_id = 1 }, { mpirank = 0, sendbuf = 0x1B050C70, recvbuf = 0x1B050C78, count = 1, mpi_op = 0x6026A0 }
